drug1, drug2, mechanism, action, property, description
Amphetamine,Dexlansoprazole,increase,1/2,A,Amphetamine can cause an increase in the absorption of Dexlansoprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Amphetamine,Esomeprazole,increase,1/2,A,Amphetamine can cause an increase in the absorption of Esomeprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Asenapine,Dexmethylphenidate,increase,1/2,A,Asenapine can cause an increase in the absorption of Dexmethylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Cimetidine,Dexmethylphenidate,increase,1/2,A,Cimetidine can cause an increase in the absorption of Dexmethylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Cimetidine,Methylphenidate,increase,1/2,A,Cimetidine can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexmethylphenidate,Epinastine,increase,1/2,A,Dexmethylphenidate can cause an increase in the absorption of Epinastine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexmethylphenidate,Esomeprazole,increase,1/2,A,Dexmethylphenidate can cause an increase in the absorption of Esomeprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexmethylphenidate,Famotidine,increase,1/2,A,Dexmethylphenidate can cause an increase in the absorption of Famotidine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dextroamphetamine,Lansoprazole,increase,1/2,A,Dextroamphetamine can cause an increase in the absorption of Lansoprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Famotidine,Methylphenidate,increase,1/2,A,Famotidine can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Lansoprazole,Methylphenidate,increase,1/2,A,Lansoprazole can cause an increase in the absorption of Methylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Amphetamine,Ethosuximide,decrease,1/2,A,Amphetamine can cause a decrease in the absorption of Ethosuximide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Asenapine,Dasatinib,decrease,1/2,A,Asenapine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.
Cimetidine,Dasatinib,decrease,1/2,A,Cimetidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.
Amphetamine,Lansoprazole,increase,2/1,A,Lansoprazole can cause an increase in the absorption of Amphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Cyclosporine,Metoclopramide,increase,2/1,A,Metoclopramide can cause an increase in the absorption of Cyclosporine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexlansoprazole,Dexmethylphenidate,increase,2/1,A,Dexmethylphenidate can cause an increase in the absorption of Dexlansoprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexlansoprazole,Dextroamphetamine,increase,2/1,A,Dextroamphetamine can cause an increase in the absorption of Dexlansoprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexlansoprazole,Methylphenidate,increase,2/1,A,Methylphenidate can cause an increase in the absorption of Dexlansoprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dexmethylphenidate,Lansoprazole,increase,2/1,A,Lansoprazole can cause an increase in the absorption of Dexmethylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Dextroamphetamine,Esomeprazole,increase,2/1,A,Esomeprazole can cause an increase in the absorption of Dextroamphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Epinastine,Methylphenidate,increase,2/1,A,Methylphenidate can cause an increase in the absorption of Epinastine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Esomeprazole,Methylphenidate,increase,2/1,A,Methylphenidate can cause an increase in the absorption of Esomeprazole resulting in an increased serum concentration and potentially a worsening of adverse effects.
Ethanol,Levomilnacipran,increase,2/1,A,Levomilnacipran can cause an increase in the absorption of Ethanol resulting in an increased serum concentration and potentially a worsening of adverse effects.
Benzphetamine,Ethosuximide,decrease,2/1,A,Ethosuximide can cause a decrease in the absorption of Benzphetamine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Dasatinib,Doxepin,decrease,2/1,A,Doxepin can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.
Dasatinib,Epinastine,decrease,2/1,A,Epinastine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.
Dasatinib,Famotidine,decrease,2/1,A,Famotidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.
Dextroamphetamine,Ethosuximide,decrease,2/1,A,Ethosuximide can cause a decrease in the absorption of Dextroamphetamine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Ethosuximide,Methamphetamine,decrease,2/1,A,Methamphetamine can cause a decrease in the absorption of Ethosuximide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Abemaciclib,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Abemaciclib can be increased when Dabigatranetexilate is used in combination with Abemaciclib
Acebutolol,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Acebutolol can be increased when Fesoterodine is used in combination with Acebutolol
Acetaminophen,Hexobarbital,increase,2/1,M,The metabolism of Acetaminophen can be increased when combined with Hexobarbital
